행정구역별(1),고령인구비율_8,65세이상인구_8,전체인구_8,고령인구비율_23,65세이상인구_23,전체인구_23
서울특별시,8.3,850916,10201656,17.7,1665804,9424873
부산광역시,9.7,347872,3587154,21.6,715541,3316107
대구광역시,8.9,222600,2494690,18.5,437542,2362880
인천광역시,7.7,206237,2668424,15.7,466876,2969502
광주광역시,8.1,114351,1414877,15.7,223793,1429816
대전광역시,7.8,114683,1476476,16.2,233899,1445806
울산광역시,6,66564,1101448,14.9,164948,1110074
세종특별자치시,-,-,-,10.5,40453,384496
경기도,7.9,876719,11122132,14.7,2005191,13596091
강원도,13.5,203076,1503425,22.9,351621,1535373
충청북도,12.4,187091,1507292,20,318500,1594459
충청남도,14.3,286675,1997954,20.6,438348,2122913
전라북도,14.4,267574,1858895,23.3,411627,1768229
전라남도,17.3,333760,1928244,25.2,458499,1816707
경상북도,14.6,392250,2679640,23.9,620425,2597527
경상남도,11.1,356138,3196607,19.6,641560,3277672
제주특별자치도,11.1,61976,558818,17.1,116147,677493
