행정구역별(1),행정구역별(2),고령인구비율,65세이상인구,전체인구
강원도,강릉시,23.6,49808,211159
강원도,고성군,31.4,8548,27193
강원도,동해시,22.4,20061,89380
강원도,삼척시,27.7,17511,63202
강원도,속초시,21.3,17635,82899
강원도,양구군,23.9,5104,21341
강원도,양양군,32.6,9061,27811
강원도,영월군,32.5,12245,37644
강원도,원주시,17,61164,360809
강원도,인제군,22.7,7308,32206
강원도,정선군,31.2,10901,34892
강원도,철원군,25.4,10711,42174
강원도,춘천시,19.6,56126,286623
강원도,태백시,28,10992,39286
강원도,평창군,31.6,12935,40901
강원도,홍천군,29.8,20272,67922
강원도,화천군,25.4,5926,23323
강원도,횡성군,32.9,15313,46608
경기도,가평군,28.8,17916,62114
경기도,고양시,15.2,164105,1077599
경기도,과천시,14.3,11226,78341
경기도,광명시,15.8,45335,287603
경기도,광주시,15.3,59896,391225
경기도,구리시,15.6,29328,188550
경기도,군포시,15.4,41027,265999
경기도,김포시,13.9,67342,484725
경기도,남양주시,15.7,115849,737171
경기도,동두천시,22.5,20563,91255
경기도,부천시,16,126567,788935
경기도,성남시,15.8,145748,924087
경기도,수원시,12.4,148087,1191620
경기도,시흥시,10.8,55285,513468
경기도,안산시,12.8,82108,640679
경기도,안성시,19.3,36443,188643
경기도,안양시,15.5,84927,547917
경기도,양주시,17.2,42197,245451
경기도,양평군,28.1,34383,122414
경기도,여주시,24.2,27410,113259
경기도,연천군,29.5,12366,41950
경기도,오산시,11,25363,229704
경기도,용인시,14.7,158096,1074650
경기도,의왕시,15.7,25093,160067
경기도,의정부시,16.8,78014,463353
경기도,이천시,15.7,34939,222451
경기도,파주시,14.9,73930,495480
경기도,평택시,12.7,73732,580011
경기도,포천시,22.6,33047,146374
경기도,하남시,13.7,44893,326496
경기도,화성시,9.8,89976,914500
경상남도,거제시,13.3,31407,236301
경상남도,거창군,30,18073,60266
경상남도,고성군,33.9,17074,50315
경상남도,김해시,13.2,70593,534935
경상남도,남해군,40.3,16717,41505
경상남도,밀양시,31.6,32526,102817
경상남도,사천시,24.2,26428,109357
경상남도,산청군,39.8,13567,34093
경상남도,양산시,15.8,56006,353778
경상남도,의령군,39.7,10324,25978
경상남도,진주시,18.8,64606,343487
경상남도,창녕군,34.6,20182,58285
경상남도,창원시,16.8,171282,1020593
경상남도,통영시,22.6,27633,122511
경상남도,하동군,38.1,16164,42407
경상남도,함안군,28.4,17429,61361
경상남도,함양군,36.7,13784,37585
경상남도,합천군,42.2,17765,42098
경상북도,경산시,18.7,49883,267424
경상북도,경주시,24.9,62093,249320
경상북도,고령군,34.7,10537,30333
경상북도,구미시,11.2,45514,407928
경상북도,군위군,43.3,10096,23307
경상북도,김천시,25.1,34884,139144
경상북도,문경시,32.7,22907,70082
경상북도,봉화군,40,12026,30096
경상북도,상주시,33.8,32021,94696
경상북도,성주군,35.3,15027,42588
경상북도,안동시,26.8,41415,154351
경상북도,영덕군,40.5,14023,34617
경상북도,영양군,40,6402,15988
경상북도,영주시,29.7,29848,100630
경상북도,영천시,30.7,30963,100946
경상북도,예천군,31.7,17666,55741
경상북도,울릉군,28.1,2519,8967
경상북도,울진군,30.4,14307,47015
경상북도,의성군,44.4,22271,50123
경상북도,청도군,40.7,16929,41600
경상북도,청송군,40.6,9835,24250
경상북도,칠곡군,17.9,20080,112329
경상북도,포항시,20,99179,496052
광주광역시,광산구,10.5,42157,400228
광주광역시,남구,19.3,40875,212028
광주광역시,동구,22.2,23472,105887
광주광역시,북구,16.8,71101,424326
광주광역시,서구,16.1,46188,287347
대구광역시,남구,25.2,35698,141547
대구광역시,달서구,16.7,89635,537140
대구광역시,달성군,14.5,38215,263136
대구광역시,동구,21.7,73621,339236
대구광역시,북구,16.5,70811,430056
대구광역시,서구,25.8,41071,159420
대구광역시,수성구,17.6,72310,411330
대구광역시,중구,20,16181,81015
대전광역시,대덕구,18.2,31414,172266
대전광역시,동구,21,46054,219508
대전광역시,서구,14.5,68295,470105
대전광역시,유성구,11,39163,357147
대전광역시,중구,21.6,48973,226780
부산광역시,강서구,13.3,19097,143066
부산광역시,금정구,23.7,52298,220567
부산광역시,기장군,17.5,31429,179090
부산광역시,남구,22.3,57189,256190
부산광역시,동구,28.3,24399,86349
부산광역시,동래구,20.2,55148,273177
부산광역시,부산진구,21.3,76020,356361
부산광역시,북구,20.1,56083,278575
