행정구역별(1),행정구역별(2),고령인구비율,65세이상인구,전체인구
서울특별시,종로구,11.5,19078,166464
서울특별시,중구,11.3,14688,130168
서울특별시,용산구,11,25915,236282
서울특별시,성동구,8.9,29696,333160
서울특별시,광진구,7.2,27055,376924
서울특별시,동대문구,9.9,37087,376304
서울특별시,중랑구,8.2,35098,427378
서울특별시,성북구,9.5,44794,470321
서울특별시,강북구,10.1,34890,345088
서울특별시,도봉구,8.8,32913,375947
서울특별시,노원구,8.2,50845,616902
서울특별시,은평구,9.5,43525,458425
서울특별시,서대문구,10.4,36257,347803
서울특별시,마포구,9.2,36157,393368
서울특별시,양천구,6.7,33936,503638
서울특별시,강서구,7.5,42272,563325
서울특별시,구로구,7.7,32242,420534
서울특별시,금천구,8,19931,249151
서울특별시,영등포구,8.7,35696,408079
서울특별시,동작구,9.1,36849,406460
서울특별시,관악구,7.8,42011,535847
서울특별시,서초구,7.2,29121,406414
서울특별시,강남구,6.6,37148,562089
서울특별시,송파구,6.7,42031,626556
서울특별시,강동구,6.8,31681,465029
부산광역시,중구,13.8,6906,49930
부산광역시,서구,13.3,17670,132548
부산광역시,동구,14.5,15154,104602
부산광역시,영도구,12.5,19327,154998
부산광역시,부산진구,10.3,41357,402519
부산광역시,동래구,9,25632,284675
부산광역시,남구,9.9,29292,296851
부산광역시,북구,7.5,24320,324640
부산광역시,해운대구,8.6,36497,424068
부산광역시,사하구,8.2,29822,365886
부산광역시,금정구,9.7,25228,258893
부산광역시,강서구,14.9,7724,51736
부산광역시,연제구,9.6,20453,212722
부산광역시,수영구,10.6,18925,178383
부산광역시,사상구,7.3,19337,265105
부산광역시,기장군,12.8,10228,79598
대구광역시,중구,14.3,11312,78995
대구광역시,동구,10.8,36184,335253
대구광역시,서구,9.4,22245,237256
대구광역시,남구,12.1,21584,178297
대구광역시,북구,7.7,35440,463018
대구광역시,수성구,8.8,39694,448684
대구광역시,달서구,6.8,40493,591352
대구광역시,달성군,9.7,15648,161835
인천광역시,중구,10.9,9755,89333
인천광역시,동구,12.1,8941,73940
인천광역시,남구,9.2,38151,413712
인천광역시,연수구,6.3,16906,268458
인천광역시,남동구,6.8,29246,427161
인천광역시,부평구,7.3,41507,569561
인천광역시,계양구,5.8,19735,342352
인천광역시,서구,6,24204,400416
인천광역시,강화군,21.9,14555,66507
인천광역시,옹진군,19.1,3237,16984
광주광역시,동구,12.9,14376,111473
광주광역시,서구,7.4,22757,307421
광주광역시,남구,9.8,20747,210849
광주광역시,북구,7.7,35950,468179
광주광역시,광산구,6.5,20521,316955
대전광역시,동구,10.2,24995,244561
대전광역시,중구,9.8,26122,265229
대전광역시,서구,6.6,32886,501634
대전광역시,유성구,6,15122,251926
대전광역시,대덕구,7.3,15558,213126
울산광역시,중구,6.6,15562,236351
울산광역시,남구,5,17226,341932
울산광역시,동구,4.4,8002,180900
울산광역시,북구,5.1,7961,157195
울산광역시,울주군,9.6,17813,185070
경기도,수원시,6.2,66458,1067117
경기도,성남시,7.5,71451,953606
경기도,의정부시,8.4,35643,422500
경기도,안양시,6.9,43366,624383
경기도,부천시,6.5,56206,865376
경기도,광명시,7.6,23648,312804
경기도,평택시,9.2,37120,403137
경기도,동두천시,11.7,10425,89162
경기도,안산시,5.6,39741,705899
경기도,고양시,8.2,75721,926283
경기도,과천시,8.7,5426,62472
경기도,구리시,7,13762,196886
경기도,남양주시,8.4,41571,493027
경기도,오산시,5.6,8126,146287
경기도,시흥시,5.6,21937,390477
경기도,군포시,7,19346,275603
경기도,의왕시,7.7,10354,135056
경기도,하남시,8.2,11298,137291
경기도,용인시,7.7,62112,802449
경기도,파주시,10.7,32390,304069
경기도,이천시,9.6,18729,195819
경기도,안성시,12,19648,164001
경기도,김포시,9.5,19507,205844
경기도,화성시,8.2,30961,378418
경기도,광주시,8.2,18748,229580
경기도,양주시,9.2,16495,179967
경기도,포천시,11.6,18335,158413
경기도,경기 여주군,14,14952,106873
경기도,연천군,17.5,7992,45599
경기도,가평군,17.5,9778,55748
경기도,양평군,17.6,15473,87986
강원도,춘천시,12,31066,258555
강원도,원주시,10.4,31080,299220
강원도,강릉시,12.7,27906,220152
강원도,동해시,11.6,11225,96577
강원도,태백시,12.4,6358,51423
강원도,속초시,11.1,9491,85389
강원도,삼척시,16.7,11829,70663
강원도,홍천군,17.3,12160,70122
강원도,횡성군,20.4,8805,43079
강원도,영월군,20.2,8104,40183
강원도,평창군,17.7,7782,43936
강원도,정선군,16.9,7055,41651
강원도,철원군,14.7,7003,47644
강원도,화천군,17.4,3973,22846
강원도,양구군,16.1,3423,21298
강원도,인제군,14.9,4773,32052
강원도,고성군,18.9,5721,30280
강원도,양양군,18.8,5322,28355
